Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.2.r ,N.2.r.3 ,Message Receiver Identifier,60,AN,Free text,Required,"The following notation will be used to represent N.2.r.3:
<id extension=""message receiver identifier"" root=""2.16.840.1.113883.3.989.2.1.3.12""/>
The root indicates the namespace of N.2.r.3, the actual message receiver identifier is populated at id extension. The receiver identifier should be agreed between trading partners.",-,"FDA requires that these identifiers correspond to the FDA ESG connection (e.g., WebTrader or AS2 B2B) used to send the ICSR submission to FAERS. 

Use the value ""CDER"". If Batch Receiver Identifier (N.1.4) = ""ZZFDA"", then Message Receiver Identifier (N.2.r.3) must be 'CDER' ",-,"FDA requires that these identifiers correspond to the FDA ESG connection (e.g., WebTrader or AS2 B2B) used to send the ICSR submission to FAERS. 

For CDER IND use the value ""CDER_IND"" or
For CBER IND use the value ""CBER_IND"" or
For CDER IND-exempt BA/BE use the value  ""CDER_IND_EXEMPT_BA_BE""

If Batch Receiver Identifier (N.1.4) = ""ZZFDA_PREMKT"", then Message Receiver Identifier (N.2.r.3) must be either 'CDER_IND' or 'CBER_IND' or 'CDER_IND_EXEMPT_BA_BE'",,,"CBER VAERS, CBER_VAERS",,"FDA requires that these identifiers correspond to the FDA ESG connection (e.g., WebTrader or AS2 B2B) used to send the ICSR submission to VAERS.  

WebTrader Accounts: CBER VAERS
AS/2 Accounts: CBER_VAERS
","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.12,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/receiver[@typeCode='RCV']/device[@classCode='DEV'][@determinerCode='INSTANCE']/id[@root='2.16.840.1.113883.3.989.2.1.3.12'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,N.2.r ,N.2.r.4 ,Date of Message Creation,-,Date/Time,See Appendix II for further information.,Required,"The value must be the same as C.1.2.
The full precision of date and time must be recorded down to the second (i.e. CCYYMMDDhhmmss[+/-ZZzz]).",-,-,-,-,,,CCYYMMDDhhmmss[+/-ZZzz],,"FDA requires full date/time stamp and UTC offset (i.e. ‘CCYYMMDDhhmmss[+/-ZZzz]’).  When no half-hour increment use ""00"" in the last two positions: EX: <creationTime value=""20141217083947-0800/>",Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,Point in Time (TS),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/creationTime/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,(Header),Identification of the Case Safety Report,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.1 ,Sender’s (case) Safety Report Unique Identifier,100,AN,Free Text (country code-company or regulator name-report number),Required,"A two character country code will be used in all instances for the country component of the Unique Identifier. The country code EU exists in the ISO 3166 country code list as an exceptional reservation code to support any application that needs to represent the name European Union. In this case, ‘EU’ will be accepted as the country code.
The format of C.1.1 ensures a unique report identifier for the sender of particular ICSR.
The use of a ‘-’ (dash/hyphen) should be avoided in the ‘company or regulator name’.
Both the ‘Sender's (case) Safety Report Unique Identifier’ (C.1.1) and the ‘Worldwide Unique Case Identification Number’ (C.1.8.1) data elements are mapped to the repeatable XML attribute<id> in the ‘investigationEvent’ entity in the HL7 ICSR model (See Appendix I (D) the Reference Instances).ICH uses two value－‘2.16.840.1.113883.3.989.2.1.3.1’ and ‘2.16.840.1.113883.3.989.2.1.3.2’－in the root portion of the investigationEvent.id to distinguish C.1.1 and C.1.8.1.
The following notation will be used to represent C.1.1:
<id extension=""country code-company name-report no"" root=""2.16.840.1.113883.3.989.2.1.3.1""/>
The following notation will be used to represent C.1.8.1:
<id extension=""country code-company name-report no"" root=""2.16.840.1.113883.3.989.2.1.3.2""/>",-,"
Guidance: Use the same Sender’s (case) Safety Report Unique Identifier (C.1.1) for all previously submitted reports.

Required for FDA to review, process and archive (21 CFR 312.32)",-,"Guidance: Use the same Sender’s (case) Safety Report Unique Identifier (C.1.1) for all previously submitted reports.

Required for FDA to review, process and archive (21 CFR 312.32)",,,,,Note: The Specifications for Preparing and Submitting Postmarket Individual Case Safety Reports (ICSRs) for Vaccines document provides additional user guidance for this field.,Conforms with ICH business rules,4.1 (009),No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.1,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.1'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.2 ,Date of Creation,-,Date/Time,See Appendix II of the ICH IG for further guidance on formatting date/time fields.,Required,"Minimum precision required is date and time to the second.
The date specified cannot refer to a future date; the time zone may have to be specified.
(i.e. ‘CCYYMMDDhhmmss[+/-ZZzz]’)",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,Point in Time (TS),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/effectiveTime/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.3 ,Type of Report,1,N,"1=Spontaneous report  
2=Report from study  
3=Other  
4=Not available to sender (unknown)",Required,,-,-,-,If Batch Receiver Identifier (N.1.4) = ZZFDA_PREMKT then Type of Report (C.1.3) must be 2=Report from Study,,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",4.2 (014),No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.2,Coded With Equivalents (CE),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.23']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='CE'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.2']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.4 ,Date Report Was First Received from Source,-,Date/Time,See Appendix II of the ICH IG for further guidance on formatting date/time fields.  ,Required,"Minimum precision required is the day (i.e. ‘CCYYMMDD’).
The date specified cannot refer to a future date.",-,-,-,-,,,,,,Conforms with ICH business rules,4.3 (015),No,No,No,No,No,No,No,No,No,-,Interval of Point in Time (IVL<TS>),low=Interval Boundary (IVXB),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/effectiveTime/low/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.5,Date of Most Recent Information for This Report,-,Date/Time,See Appendix II of the ICH IG for further guidance on formatting date/time fields.  ,Required,"Minimum precision required is the day (i.e. ‘CCYYMMDD’).
The date specified cannot refer to a future date.",-,-,-,-,,,,,,Conforms with ICH business rules,4.3 (015),No,No,No,No,No,No,No,No,No,-,Point in Time (TS),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/availabilityTime/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.6 ,(Header),Additional Available Documents Held by Sender,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.6.1,Are Additional Documents Available?,-,Boolean,"false, true",Required,"For further information on how to attach documents to an ICSR, please see Section 3.5 (of IG)",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.19,Boolean (BL),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.6.1.r ,(Header),Documents Held by Sender (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.6.1.r ,C.1.6.1.r.1,Documents Held by Sender,2000,AN,Free Text,Conditional-Required,"Optional, but required if C.1.6.1 is ‘true’.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.27,Character String (ST),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/title/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.6.1.r ,C.1.6.1.r.2,Included Documents,-,B64,"Media type: e.g. Application/PDF, image/jpeg, application/DICOM, text/plain Representation: e.g.B64  ",Optional,"For further information on how to attach documents to an ICSR, please see Section 3.5.
Because a receiver’s system may have particular configurations on handling attachments, ‘Value Allowed’ is defined by each region.",-,Compression is not used for US reporting and encoding is limited to B64. ,-,Compression is not used for US reporting and encoding is limited to B64. ,,,,,Compression is not used for US reporting and encoding is limited to B64. ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Encapsulated Data (ED),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/text/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
